"","wrf","collection_num","cg_num","copies_ul_sample","avg_ct.x","copies_ul_input","avg_ct.y","percent_recovery","date"
"1","C",20,6,4.14613323202424,32.751720827389,8.56932103867332,24.4326744219049,48.383450839486,2020-09-29
"2","C",21,6,0.553140010588565,35.5837201966576,8.56932103867332,24.4326744219049,6.45488724360128,2020-10-06
"3","C",22,7,0.679840792579761,35.1785195610682,28.7651133123272,22.7276036221017,2.36342122208299,2020-10-13
"4","C",25,25,19.6395768519104,30.56609299561,66.4729917410693,21.5602576629054,29.5451977374691,2020-11-02
"5","C",26,26,23.4975083390653,30.3136876747185,47.805994186948,22.0238147742513,49.1518035315342,2020-11-04
"6","C",29,29,10.0813727859598,31.5039421726867,29.8539890195432,22.6858157961426,33.7689304412896,2020-11-16
"7","C",30,30,9.21409324690524,31.6302199029566,21.8355609080501,23.1257769202275,42.1976485317045,2020-11-18
"8","C",31,31,13.5908394209594,31.083809090262,21.0073979603694,23.1795908579839,64.6954917815077,2020-11-23
"9","C",32,32,18.503451192726,30.6499441566915,43.7679605660207,22.1477704919321,42.2762471758648,2020-11-25
"10","C",33,33,29.8609535248735,29.9769575713694,26.5945113288712,22.8485045362191,112.282392241049,2020-11-30
"11","C",34,34,19.5918375674216,30.5696041323285,52.9109505978253,21.8811557989972,37.0279447752482,2020-12-02
"12","C",35,35,8.73778292776527,31.7050281364804,27.6506816499099,22.793746572585,31.6006058671387,2020-12-07
"13","C",36,36,16.3674745556988,30.8224502601139,29.0413198235185,22.7247473516802,56.3592655401424,2020-12-09
"14","C",37,37,17.7352623598092,30.7091519188211,32.8040084249123,22.5527344617632,54.0643147327707,2020-12-14
"15","C",38,38,21.437263178548,30.443007655271,30.5664354045562,22.6527360698838,70.1333436327108,2020-12-16
"16","C",39,39,32.3362922212298,29.8649872754272,58.6419797496868,21.7363537457686,55.1418836118037,2020-12-21
"17","C",49,49,18.9101955426239,30.618935761951,89.3142192898934,21.1445207309619,21.1726595081638,2021-02-01
"18","C",51,51,1.52950403667002,34.1550768115164,4.77807048404407,25.2609858112648,32.0109140662044,2021-02-08
"19","C",52,52,2.12556573485574,33.6920804081672,5.94196927059772,24.9550599271576,35.7720755200392,2021-02-10
"20","C",53,53,5.26968678697885,32.4157817998514,12.4369555676365,23.917115908354,42.3711957345223,2021-02-15
"21","C",55,55,9.08357818375743,31.6492856107492,46.3967211928878,22.0658786983081,19.5780605831902,2021-02-22
"22","C",56,56,33.6357704573199,29.7939032231282,230.056788277381,19.8039425569018,14.6206381081723,2021-02-24
"23","C",57,57,10.8239841847284,31.403980191581,36.3781752701945,22.37692481501,29.7540602417098,2021-03-01
"24","C",58,58,23.4059634829812,30.3150298399847,80.9728546383124,21.2767009666208,28.9059384006288,2021-03-03
"25","C",60,60,9.96495250801864,31.5035906237101,40.1464440200486,22.2665510587999,24.8215072374586,2021-03-10
"26","C",61,61,9.19890886399544,31.622939039556,36.5061936675927,22.402978856631,25.1982141653993,2021-03-15
"27","C",62,62,2.72299671960216,33.3437863467163,4.49086657627229,25.3491524728743,60.6341042058395,2021-03-17
"28","C",64,64,4.61381435449145,32.6027856223507,12.0884797481868,23.9568561998343,38.1670354800692,2021-03-24
"29","C",65,68,2.47790402264152,33.47732162,5.20768320595357,25.1413606860442,47.5816965941536,2021-03-29
"30","C",66,66,12.6316613868787,31.1863821231511,24.0908501259839,22.9874965432556,52.4334397533547,2021-03-31
"31","C",67,67,5.37731160049033,32.3867849969094,8.13866974804332,24.5132271320493,66.0711365242843,2021-04-05
"32","C",68,68,1.97682640828697,33.7944458304846,5.20768320595357,25.1413606860442,37.9598053511973,2021-04-07
"33","C",69,69,0.605965091633143,35.4575590519495,0.91721007196916,27.5832772577572,66.0661183464978,2021-04-12
"34","C",70,70,6.34161611962047,32.15544129901,27.8484301539017,22.7833117849612,22.7718980372471,2021-04-14
"35","C",71,71,0.532218433122682,35.639464562489,0.725353905376298,27.913344006655,73.3736220592317,2021-04-19
"36","C",72,72,1.02921096277291,34.7121566229872,5.52914092255833,25.0570998135092,18.6143015196779,2021-04-21
"37","C",74,74,2.56393016338982,33.4288554784522,8.91972592721445,24.3843835872428,28.7444948904446,2021-04-28
"38","C",75,75,24.6384889747284,30.2470814301723,73.4324275585992,21.4198401893179,33.5526003890677,2021-05-03
"39","C",77,77,2.14506291464457,33.6794362503261,8.73734077070468,24.4133418669748,24.5505236769147,2021-05-10
"40","C",78,78,3.08112496515892,33.1705771997874,9.81240300444633,24.249879380759,31.4003100337681,2021-05-12
"41","C",79,79,1.75456915630885,33.9619116773078,6.38117372453657,24.8547629556378,27.4960255283799,2021-05-17
"42","C",80,80,2.75805082703117,33.3260948726448,12.2924936550241,23.9332273075547,22.4368700479575,2021-05-19
"43","C",87,87,7.16018066306224,31.9814769181305,17.6243324989954,23.4250262612934,40.6266771434912,2021-06-14
"44","C",88,88,3.50391966933016,32.99010086,15.3325761288075,23.6226046699684,22.8527785539369,2021-06-16
"45","C",90,90,2.20969737435047,33.636542664954,15.1563712171612,23.6390903189579,14.5793299906015,2021-06-23
"46","C",92,92,20.4193830590778,30.5109378819367,38.022618658251,22.3417605081713,53.7032529048252,2021-06-30
"47","B",10,3,60.8725734107439,28.7121084511161,23.4947736682784,23.0035870013816,259.089848109204,2020-07-21
"48","B",11,3,17.2629300423019,30.7475730421277,23.4947736682784,23.0035870013816,73.4756175396128,2020-07-28
"49","B",12,3,3.18744477415289,33.1226432130146,23.4947736682784,23.0035870013816,13.5666119587116,2020-08-04
"50","B",13,4,2.65583511817579,33.378246591082,11.0396950206985,24.0845463020888,24.0571420967366,2020-08-11
"51","B",14,4,6.74292673632206,32.069473826008,11.0396950206985,24.0845463020888,61.0789222318157,2020-08-18
"52","B",15,4,2.68619634809236,33.3511927157322,11.0396950206985,24.0845463020888,24.3321608346605,2020-08-25
"53","B",16,5,0.560074887790815,35.5684245968329,7.80378684429459,24.5727093283111,7.17696291512998,2020-09-01
"54","B",17,5,3.67178797140635,32.9019459481574,7.80378684429459,24.5727093283111,47.0513616615608,2020-09-08
"55","B",18,5,1.81776962663365,33.8825530514635,7.80378684429459,24.5727093283111,23.2934300090813,2020-09-15
"56","B",19,6,3.30354536829186,33.0714292271274,8.56932103867332,24.4326744219049,38.5508414655369,2020-09-22
"57","B",20,6,4.30481488489275,32.6885573953903,8.56932103867332,24.4326744219049,50.2351920935758,2020-09-29
"58","B",21,6,5.96256944519063,32.2418159493257,8.56932103867332,24.4326744219049,69.5804185451983,2020-10-06
"59","B",22,7,10.6004043868555,31.4271633417321,28.7651133123272,22.7276036221017,36.85159961568,2020-10-13
"60","B",25,25,20.8119559716938,30.4846324904903,66.4729917410693,21.5602576629054,31.308890162131,2020-11-02
"61","B",26,26,23.441981011844,30.3173093779991,47.805994186948,22.0238147742513,49.0356521405513,2020-11-04
"62","B",29,29,6.42415141479947,32.1376276069358,29.8539890195432,22.6858157961426,21.5185696309932,2020-11-16
"63","B",30,30,9.74022431718196,31.5523701152501,21.8355609080501,23.1257769202275,44.6071633249917,2020-11-18
"64","B",31,31,12.6514996252894,31.1843145947357,21.0073979603694,23.1795908579839,60.2240203625241,2020-11-23
"65","B",32,32,28.5783309193159,30.0387144325168,43.7679605660207,22.1477704919321,65.2950938305832,2020-11-25
"66","B",33,33,33.4122560161245,29.8189435126932,26.5945113288712,22.8485045362191,125.635908864593,2020-11-30
"67","B",34,34,24.0910998772329,30.2788421428956,52.9109505978253,21.8811557989972,45.5314062685222,2020-12-02
"68","B",35,35,17.667892090673,30.7149750678381,27.6506816499099,22.793746572585,63.8967686741661,2020-12-07
"69","B",36,36,19.6804019864143,30.5632438909402,29.0413198235185,22.7247473516802,67.7668993902837,2020-12-09
"70","B",37,37,20.9747789217582,30.4736091844398,32.8040084249123,22.5527344617632,63.9396827670284,2020-12-14
"71","B",38,38,0.400689642761812,36.0387151285173,30.5664354045562,22.6527360698838,1.31088115921455,2020-12-16
"72","B",39,39,31.3324093617409,29.9093207098351,58.6419797496868,21.7363537457686,53.4299992863189,2020-12-21
"73","B",49,49,24.1705018467703,30.2736944942092,89.3142192898934,21.1445207309619,27.0623222583611,2021-02-01
"74","B",5,2,3.00477433270718,33.2060488468658,6.31682693937684,24.8699171219699,47.5677798607477,NA
"75","B",51,51,1.93430808038723,33.8235259832814,4.77807048404407,25.2609858112648,40.4830378046259,2021-02-08
"76","B",52,52,3.30997100472866,33.0677604856154,5.94196927059772,24.9550599271576,55.7049498910603,2021-02-10
"77","B",53,53,4.32546744519556,32.6927026462558,12.4369555676365,23.917115908354,34.7791501036741,2021-02-15
"78","B",55,55,10.9881564636743,31.3826796643075,46.3967211928878,22.0658786983081,23.6830452263912,2021-02-22
"79","B",56,56,38.0430797479972,29.6011653368333,230.056788277381,19.8039425569018,16.5363865299764,2021-02-24
"80","B",57,57,11.6038092272491,31.3061044385049,36.3781752701945,22.37692481501,31.8977220299349,2021-03-01
"81","B",58,58,20.1090447112838,30.5286174077259,80.9728546383124,21.2767009666208,24.8343037936682,2021-03-03
"82","B",60,60,16.9578979839468,30.7708136042842,40.1464440200486,22.2665510587999,42.2400997096486,2021-03-10
"83","B",61,61,6.27970071927899,32.1602336695923,36.5061936675927,22.402978856631,17.2017405497238,2021-03-15
"84","B",62,62,1.29875232131434,34.3846611251116,4.49086657627229,25.3491524728743,28.9198598813057,2021-03-17
"85","B",63,63,5.2144753805632,32.4305541833659,4.53592601830189,25.3350916619812,114.95944509508,2021-03-22
"86","B",64,64,1.80914113997919,33.91927942888,12.0884797481868,23.9568561998343,14.9658284388535,2021-03-24
"87","B",66,66,7.07672338219412,32.0010314766435,24.0908501259839,22.9874965432556,29.3751500888767,2021-03-31
"88","B",67,67,2.2121583706429,33.6357086861899,8.13866974804332,24.5132271320493,27.1808346956792,2021-04-05
"89","B",68,68,3.8174862506066,32.8682714120698,5.20768320595357,25.1413606860442,73.3048862542627,2021-04-07
"90","B",69,69,0.910379233529927,34.884322255613,0.91721007196916,27.5832772577572,99.2552591115176,2021-04-12
"91","B",7,2,4.03225204606196,32.7920156776449,6.31682693937684,24.8699171219699,63.8335050929817,2020-06-30
"92","B",70,70,7.53632628191847,31.9126638377463,27.8484301539017,22.7833117849612,27.0619429543055,2021-04-14
"93","B",71,71,0.750722190322754,35.1555801457943,0.725353905376298,27.913344006655,103.497366562505,2021-04-19
"94","B",72,72,2.08674664371677,33.7181126787582,5.52914092255833,25.0570998135092,37.7408836733218,2021-04-21
"95","B",74,74,3.0717114274219,33.1746694882242,8.91972592721445,24.3843835872428,34.4372848727334,2021-04-28
"96","B",75,75,23.0092316845446,30.3430687444222,73.4324275585992,21.4198401893179,31.3338840203576,2021-05-03
"97","B",77,77,3.16704687252143,33.131156809587,8.73734077070468,24.4133418669748,36.2472628186848,2021-05-10
"98","B",78,78,5.46208606281217,32.3637906670242,9.81240300444633,24.249879380759,55.6651215847648,2021-05-12
"99","B",79,79,1.9267355470342,33.8302634711017,6.38117372453657,24.8547629556378,30.1940619423291,2021-05-17
"100","B",80,80,2.96628401700027,33.2237371444043,12.2924936550241,23.9332273075547,24.1308566044118,2021-05-19
"101","B",87,87,11.0168237791923,31.3791697797054,17.6243324989954,23.4250262612934,62.5091689561592,2021-06-14
"102","B",88,88,4.02531589935718,32.79502487,15.3325761288075,23.6226046699684,26.2533566801879,2021-06-16
"103","B",9,2,5.10643291505847,32.460454784959,6.31682693937684,24.8699171219699,80.8385755073769,2020-07-14
"104","B",90,90,4.21274334899872,32.7302664260437,15.1563712171612,23.6390903189579,27.7951977332723,2021-06-23
"105","B",92,92,22.7962588624999,30.3565809844702,38.022618658251,22.3417605081713,59.9544683321097,2021-06-30
"106","A",10,3,13.8093279748483,31.0225403874711,23.4947736682784,23.0035870013816,58.7761694146176,2020-07-21
"107","A",11,3,5.32072242322671,32.40012686683,23.4947736682784,23.0035870013816,22.6464085091848,2020-07-28
"108","A",12,3,5.16821477616058,32.443432750328,23.4947736682784,23.0035870013816,21.9972954374039,2020-08-04
"109","A",13,4,2.72659884375685,33.3407656704629,11.0396950206985,24.0845463020888,24.6981355793318,2020-08-11
"110","A",14,4,4.40999428992663,32.6658098889541,11.0396950206985,24.0845463020888,39.946703977404,2020-08-18
"111","A",15,4,6.36494864318826,32.1504026554918,11.0396950206985,24.0845463020888,57.6551130375842,2020-08-25
"112","A",16,5,1.55312959263483,34.1326552428212,7.80378684429459,24.5727093283111,19.9022554514073,2020-09-01
"113","A",17,5,3.01927178625337,33.18690088822,7.80378684429459,24.5727093283111,38.6898290086022,2020-09-08
"114","A",18,5,5.82306917483739,32.2629902104224,7.80378684429459,24.5727093283111,74.6185062588516,2020-09-15
"115","A",19,6,6.53295697164368,32.1139611216745,8.56932103867332,24.4326744219049,76.2365762953736,2020-09-22
"116","A",20,6,4.16931065200622,32.7432305506781,8.56932103867332,24.4326744219049,48.6539205753891,2020-09-29
"117","A",21,6,3.56222160441154,32.9653158158393,8.56932103867332,24.4326744219049,41.569473104523,2020-10-06
"118","A",22,7,11.8820804277465,31.2617486609965,28.7651133123272,22.7276036221017,41.3072609821928,2020-10-13
"119","A",25,25,27.8538185550948,30.0746468399694,66.4729917410693,21.5602576629054,41.9024596690234,2020-11-02
"120","A",26,26,18.2552073062346,30.6689716059796,47.805994186948,22.0238147742513,38.1860216834872,2020-11-04
"121","A",29,29,11.8314228204757,31.2788394078939,29.8539890195432,22.6858157961426,39.6309612518802,2020-11-16
"122","A",30,30,9.19178317055557,31.633864853438,21.8355609080501,23.1257769202275,42.0954754002533,2020-11-18
"123","A",31,31,7.66302278558445,31.8894217945217,21.0073979603694,23.1795908579839,36.4777341774587,2020-11-23
"124","A",32,32,14.7181642016668,30.9717769353358,43.7679605660207,22.1477704919321,33.6277130835591,2020-11-25
"125","A",33,33,23.602522336317,30.3075321302337,26.5945113288712,22.8485045362191,88.7495996615432,2020-11-30
"126","A",34,34,16.9111790509624,30.7764970594126,52.9109505978253,21.8811557989972,31.9615861364952,2020-12-02
"127","A",35,35,18.1224817880078,30.6791758658104,27.6506816499099,22.793746572585,65.5408138484965,2020-12-07
"128","A",36,36,21.2741969447575,30.4537759875679,29.0413198235185,22.7247473516802,73.2549246178855,2020-12-09
"129","A",37,37,18.854739115949,30.6234497759491,32.8040084249123,22.5527344617632,57.4769365734894,2020-12-14
"130","A",38,38,21.0156048890961,30.4708183854925,30.5664354045562,22.6527360698838,68.7538622379354,2020-12-16
"131","A",39,39,27.1068205670142,30.1130575861722,58.6419797496868,21.7363537457686,46.2242589399602,2020-12-21
"132","A",49,49,23.7915763337767,30.2952885266961,89.3142192898934,21.1445207309619,26.6380611317384,2021-02-01
"133","A",5,2,2.82303511449697,33.2933009191353,6.31682693937684,24.8699171219699,44.6907148413261,NA
"134","A",51,51,3.03273384870289,33.1925933877503,4.77807048404407,25.2609858112648,63.4719361891046,2021-02-08
"135","A",52,52,3.56247931041204,32.966784211229,5.94196927059772,24.9550599271576,59.9545226199677,2021-02-10
"136","A",53,53,8.04312351567383,31.8209713919887,12.4369555676365,23.917115908354,64.6711606544905,2021-02-15
"137","A",55,55,10.348569427534,31.4669345095733,46.3967211928878,22.0658786983081,22.3045274783779,2021-02-22
"138","A",56,56,0.215371126931476,36.9015315945883,230.056788277381,19.8039425569018,0.0936165059697354,2021-02-24
"139","A",57,57,15.6332598862485,30.8853974644013,36.3781752701945,22.37692481501,42.9742827124626,2021-03-01
"140","A",58,58,21.3281762507533,30.4483771684673,80.9728546383124,21.2767009666208,26.3399090300342,2021-03-03
"141","A",60,60,21.5690134166308,30.4342057789481,40.1464440200486,22.2665510587999,53.7258378496971,2021-03-10
"142","A",61,61,7.97684097818067,31.8312510716581,36.5061936675927,22.402978856631,21.8506510177803,2021-03-15
"143","A",62,62,3.0710671088816,33.1747394152964,4.49086657627229,25.3491524728743,68.3847328065308,2021-03-17
"144","A",63,63,6.5223089183239,32.1162102794329,4.53592601830189,25.3350916619812,143.792224388299,2021-03-22
"145","A",64,64,4.6636905143633,32.587881255382,12.0884797481868,23.9568561998343,38.5796279723496,2021-03-24
"146","A",66,66,13.5368865739334,31.0889302254478,24.0908501259839,22.9874965432556,56.1909874626335,2021-03-31
"147","A",67,67,7.93861806200016,31.8388523092304,8.13866974804332,24.5132271320493,97.5419608825968,2021-04-05
"148","A",68,68,3.31549763161972,33.0675520877776,5.20768320595357,25.1413606860442,63.6655015387524,2021-04-07
"149","A",69,69,0.540576217233782,35.6175194908314,0.91721007196916,27.5832772577572,58.9370127688653,2021-04-12
"150","A",7,2,2.79384165830225,33.3074978554568,6.31682693937684,24.8699171219699,44.2285610341236,2020-06-30
"151","A",70,70,11.2962939969657,31.3436299619105,27.8484301539017,22.7833117849612,40.5634857496019,2021-04-14
"152","A",71,71,1.21272505948414,34.4815042033541,0.725353905376298,27.913344006655,167.190808582605,2021-04-19
"153","A",72,72,2.54482180646002,33.439276900769,5.52914092255833,25.0570998135092,46.025627527007,2021-04-21
"154","A",74,74,4.45820324523691,32.6510758798779,8.91972592721445,24.3843835872428,49.9813927200919,2021-04-28
"155","A",75,75,5.06348822013199,32.4720878452608,73.4324275585992,21.4198401893179,6.89543896133805,2021-05-03
"156","A",77,77,5.10978623076921,32.4585594336018,8.73734077070468,24.4133418669748,58.4821671131535,2021-05-10
"157","A",78,78,6.95441105149099,32.0255498824904,9.81240300444633,24.249879380759,70.8736794477328,2021-05-12
"158","A",79,79,2.6876978459298,33.362841511506,6.38117372453657,24.8547629556378,42.1191768466545,2021-05-17
"159","A",80,80,6.10145184124941,32.2092196122215,12.2924936550241,23.9332273075547,49.6355907310612,2021-05-19
"160","A",87,87,7.6211196258105,31.8962454237514,17.6243324989954,23.4250262612934,43.2420327195082,2021-06-14
"161","A",88,88,4.74836482586461,32.56271744,15.3325761288075,23.6226046699684,30.969126035795,2021-06-16
"162","A",9,2,5.59682124902498,32.3314250959338,6.31682693937684,24.8699171219699,88.6017822355778,2020-07-14
"163","A",90,90,8.60858355643587,31.7257372060906,15.1563712171612,23.6390903189579,56.7984475511433,2021-06-23
"164","A",91,91,8.72710740204961,31.7057367234976,15.7240643185191,23.5868074338323,55.5016007647032,2021-06-28
"165","A",92,92,21.8621028369675,30.4154008876957,38.022618658251,22.3417605081713,57.4976253831044,2021-06-30
