date,cases_A,cases_B,cases_C
6/1/2020,2.5,0,0
6/2/2020,2.5,2.5,2.5
6/3/2020,2.5,2.5,0
6/4/2020,2.5,2.5,0
6/5/2020,0,2.5,2.5
6/6/2020,2.5,2.5,0
6/7/2020,0,0,0
6/8/2020,2.5,2.5,0
6/9/2020,0,2.5,0
6/10/2020,2.5,2.5,0
6/11/2020,0,0,0
6/12/2020,9,0,0
6/13/2020,0,2.5,0
6/14/2020,2.5,2.5,0
6/15/2020,2.5,2.5,0
6/16/2020,2.5,2.5,0
6/17/2020,0,0,0
6/18/2020,2.5,2.5,2.5
6/19/2020,2.5,2.5,2.5
6/20/2020,5,2.5,2.5
6/21/2020,2.5,0,0
6/22/2020,8,2.5,2.5
6/23/2020,10,2.5,2.5
6/24/2020,15,2.5,2.5
6/25/2020,18,2.5,2.5
6/26/2020,11,6,0
6/27/2020,9,10,2.5
6/28/2020,11,5,2.5
6/29/2020,17,12,2.5
6/30/2020,11,10,7
7/1/2020,25,6,2.5
7/2/2020,21,2.5,5
7/3/2020,11,9,0
7/4/2020,14,2.5,2.5
7/5/2020,12,8,5
7/6/2020,19,2.5,2.5
7/7/2020,13,9,2.5
7/8/2020,18,10,6
7/9/2020,18,10,8
7/10/2020,17,11,2.5
7/11/2020,6,2.5,2.5
7/12/2020,7,8,2.5
7/13/2020,16,15,2.5
7/14/2020,15,13,2.5
7/15/2020,20,10,2.5
7/16/2020,14,12,6
7/17/2020,27,23,6
7/18/2020,12,7,2.5
7/19/2020,10,12,2.5
7/20/2020,17,9,2.5
7/21/2020,20,2.5,2.5
7/22/2020,9,9,2.5
7/23/2020,12,10,2.5
7/24/2020,24,11,6
7/25/2020,13,9,5
7/26/2020,6,5,2.5
7/27/2020,16,11,2.5
7/28/2020,9,13,2.5
7/29/2020,14,15,6
7/30/2020,19,13,5
7/31/2020,24,8,5
8/1/2020,7,8,2.5
8/2/2020,8,9,2.5
8/3/2020,18,8,2.5
8/4/2020,11,12,2.5
8/5/2020,13,23,2.5
8/6/2020,24,16,2.5
8/7/2020,10,7,5
8/8/2020,17,19,2.5
8/9/2020,5,11,5
8/10/2020,14,20,2.5
8/11/2020,12,15,2.5
8/12/2020,11,5,2.5
8/13/2020,12,6,5
8/14/2020,13,12,2.5
8/15/2020,2.5,6,0
8/16/2020,5,2.5,0
8/17/2020,16,6,2.5
8/18/2020,17,6,2.5
8/19/2020,15,8,2.5
8/20/2020,10,10,2.5
8/21/2020,24,10,2.5
8/22/2020,13,6,2.5
8/23/2020,12,10,2.5
8/24/2020,16,10,0
8/25/2020,36,8,2.5
8/26/2020,25,15,7
8/27/2020,19,12,2.5
8/28/2020,29,13,2.5
8/29/2020,31,16,5
8/30/2020,29,14,2.5
8/31/2020,45,22,2.5
9/1/2020,98,35,5
9/2/2020,85,33,2.5
9/3/2020,47,25,2.5
9/4/2020,109,41,11
9/5/2020,66,25,9
9/6/2020,51,28,7
9/7/2020,31,16,5
9/8/2020,105,34,14
9/9/2020,37,25,11
9/10/2020,50,19,10
9/11/2020,38,11,7
9/12/2020,62,31,12
9/13/2020,31,16,2.5
9/14/2020,30,13,5
9/15/2020,39,5,2.5
9/16/2020,44,11,7
9/17/2020,28,9,2.5
9/18/2020,16,2.5,2.5
9/19/2020,17,2.5,2.5
9/20/2020,6,2.5,2.5
9/21/2020,6,2.5,2.5
9/22/2020,11,2.5,2.5
9/23/2020,17,6,2.5
9/24/2020,16,2.5,2.5
9/25/2020,8,5,2.5
9/26/2020,5,6,2.5
9/27/2020,5,2.5,2.5
9/28/2020,2.5,9,2.5
9/29/2020,20,8,2.5
9/30/2020,19,10,2.5
10/1/2020,12,5,2.5
10/2/2020,6,6,2.5
10/3/2020,10,14,2.5
10/4/2020,2.5,2.5,0
10/5/2020,2.5,2.5,2.5
10/6/2020,5,11,2.5
10/7/2020,9,10,2.5
10/8/2020,5,8,2.5
10/9/2020,19,8,2.5
10/10/2020,2.5,2.5,2.5
10/11/2020,7,9,2.5
10/12/2020,5,2.5,0
10/13/2020,10,8,2.5
10/14/2020,14,11,2.5
10/15/2020,7,12,6
10/16/2020,9,7,2.5
10/17/2020,5,7,2.5
10/18/2020,5,2.5,0
10/19/2020,2.5,2.5,2.5
10/20/2020,8,2.5,2.5
10/21/2020,12,5,2.5
10/22/2020,10,2.5,0
10/23/2020,5,7,2.5
10/24/2020,6,8,2.5
10/25/2020,2.5,5,2.5
10/26/2020,5,2.5,2.5
10/27/2020,9,2.5,2.5
10/28/2020,11,8,2.5
10/29/2020,9,6,2.5
10/30/2020,14,7,6
10/31/2020,5,5,2.5
11/1/2020,8,2.5,2.5
11/2/2020,11,2.5,2.5
11/3/2020,5,2.5,2.5
11/4/2020,7,10,7
11/5/2020,8,9,2.5
11/6/2020,12,16,2.5
11/7/2020,2.5,2.5,2.5
11/8/2020,6,8,2.5
11/9/2020,7,6,2.5
11/10/2020,2.5,8,2.5
11/11/2020,9,15,11
11/12/2020,10,2.5,5
11/13/2020,9,6,2.5
11/14/2020,7,9,2.5
11/15/2020,6,7,5
11/16/2020,7,5,2.5
11/17/2020,10,11,0
11/18/2020,12,6,2.5
11/19/2020,7,11,6
11/20/2020,5,5,2.5
11/21/2020,11,14,5
11/22/2020,2.5,7,2.5
11/23/2020,11,8,2.5
11/24/2020,16,11,2.5
11/25/2020,19,14,2.5
11/26/2020,9,7,0
11/27/2020,5,7,2.5
11/28/2020,6,14,2.5
11/29/2020,5,2.5,2.5
11/30/2020,11,16,5
12/1/2020,14,15,6
12/2/2020,27,26,9
12/3/2020,33,27,5
12/4/2020,28,15,8
12/5/2020,9,15,11
12/6/2020,5,10,0
12/7/2020,18,11,2.5
12/8/2020,22,12,6
12/9/2020,33,18,7
12/10/2020,15,24,7
12/11/2020,19,32,10
12/12/2020,14,24,8
12/13/2020,8,22,5
12/14/2020,16,19,5
12/15/2020,23,17,5
12/16/2020,15,16,12
12/17/2020,22,22,15
12/18/2020,20,21,5
12/19/2020,11,17,2.5
12/20/2020,13,18,8
12/21/2020,19,10,14
12/22/2020,13,17,2.5
12/23/2020,16,27,9
12/24/2020,14,23,8
12/25/2020,6,9,7
12/26/2020,8,24,2.5
12/27/2020,9,12,2.5
12/28/2020,2.5,10,2.5
12/29/2020,31,36,11
12/30/2020,15,19,6
12/31/2020,21,38,15
1/1/2021,22,31,18
1/2/2021,22,22,16
1/3/2021,19,25,10
1/4/2021,22,40,10
1/5/2021,22,14,9
1/6/2021,31,41,14
1/7/2021,33,29,16
1/8/2021,40,28,20
1/9/2021,45,49,12
1/10/2021,27,26,8
1/11/2021,18,22,7
1/12/2021,37,22,8
1/13/2021,42,32,8
1/14/2021,36,28,6
1/15/2021,33,32,15
1/16/2021,31,21,7
1/17/2021,13,16,5
1/18/2021,13,15,6
1/19/2021,15,15,13
1/20/2021,26,16,6
1/21/2021,26,15,7
1/22/2021,33,18,8
1/23/2021,35,42,14
1/24/2021,8,9,9
1/25/2021,14,15,2.5
1/26/2021,38,26,12
1/27/2021,36,25,2.5
1/28/2021,35,22,5
1/29/2021,28,20,7
1/30/2021,24,14,9
1/31/2021,18,9,2.5
2/1/2021,12,12,2.5
2/2/2021,15,5,5
2/3/2021,18,20,2.5
2/4/2021,17,18,2.5
2/5/2021,16,9,5
2/6/2021,13,13,2.5
2/7/2021,9,10,2.5
2/8/2021,13,17,2.5
2/9/2021,9,11,2.5
2/10/2021,16,10,2.5
2/11/2021,10,17,6
2/12/2021,8,10,2.5
2/13/2021,14,12,2.5
2/14/2021,7,5,0
2/15/2021,10,18,5
2/16/2021,5,6,2.5
2/17/2021,5,5,2.5
2/18/2021,10,7,2.5
2/19/2021,7,6,2.5
2/20/2021,5,2.5,2.5
2/21/2021,2.5,2.5,2.5
2/22/2021,7,2.5,0
2/23/2021,2.5,6,2.5
2/24/2021,7,2.5,5
2/25/2021,7,8,2.5
2/26/2021,7,2.5,2.5
2/27/2021,9,7,2.5
2/28/2021,2.5,6,2.5
3/1/2021,2.5,2.5,0
3/2/2021,11,10,2.5
3/3/2021,17,15,5
3/4/2021,7,9,2.5
3/5/2021,5,2.5,2.5
3/6/2021,2.5,2.5,0
3/7/2021,2.5,2.5,0
3/8/2021,9,2.5,2.5
3/9/2021,6,2.5,0
3/10/2021,6,6,0
3/11/2021,9,8,2.5
3/12/2021,2.5,2.5,2.5
3/13/2021,2.5,2.5,0
3/14/2021,5,0,2.5
3/15/2021,2.5,2.5,2.5
3/16/2021,2.5,2.5,2.5
3/17/2021,11,5,2.5
3/18/2021,2.5,2.5,2.5
3/19/2021,7,6,2.5
3/20/2021,0,2.5,0
3/21/2021,2.5,2.5,0
3/22/2021,2.5,2.5,2.5
3/23/2021,2.5,2.5,0
3/24/2021,2.5,2.5,2.5
3/25/2021,2.5,2.5,2.5
3/26/2021,2.5,2.5,2.5
3/27/2021,2.5,2.5,2.5
3/28/2021,2.5,2.5,2.5
3/29/2021,2.5,2.5,2.5
3/30/2021,2.5,2.5,0
3/31/2021,0,0,2.5
4/1/2021,6,2.5,0
4/2/2021,2.5,2.5,0
4/3/2021,2.5,2.5,2.5
4/4/2021,2.5,2.5,2.5
4/5/2021,2.5,2.5,0
4/6/2021,2.5,5,2.5
4/7/2021,5,2.5,2.5
4/8/2021,2.5,2.5,0
4/9/2021,7,2.5,2.5
4/10/2021,0,2.5,2.5
4/11/2021,2.5,2.5,2.5
4/12/2021,2.5,5,0
4/13/2021,6,2.5,2.5
4/14/2021,2.5,10,0
4/15/2021,6,2.5,2.5
4/16/2021,10,2.5,2.5
4/17/2021,2.5,2.5,2.5
4/18/2021,0,2.5,2.5
4/19/2021,0,2.5,0
4/20/2021,2.5,2.5,2.5
4/21/2021,2.5,2.5,2.5
4/22/2021,5,2.5,0
4/23/2021,2.5,2.5,0
4/24/2021,2.5,2.5,0
4/25/2021,2.5,5,0
4/26/2021,2.5,2.5,2.5
4/27/2021,2.5,2.5,2.5
4/28/2021,6,2.5,2.5
4/29/2021,2.5,5,0
4/30/2021,2.5,2.5,0
5/1/2021,2.5,5,2.5
5/2/2021,0,5,0
5/3/2021,2.5,2.5,2.5
5/4/2021,2.5,2.5,0
5/5/2021,0,2.5,0
5/6/2021,0,5,0
5/7/2021,2.5,2.5,0
5/8/2021,0,2.5,0
5/9/2021,2.5,5,2.5
5/10/2021,0,2.5,0
5/11/2021,2.5,2.5,2.5
5/12/2021,2.5,2.5,2.5
5/13/2021,2.5,2.5,0
5/14/2021,2.5,2.5,0
5/15/2021,2.5,0,2.5
5/16/2021,2.5,2.5,0
5/17/2021,2.5,0,0
5/18/2021,2.5,2.5,0
5/19/2021,2.5,7,0
5/20/2021,0,2.5,0
5/21/2021,2.5,2.5,0
5/22/2021,0,0,0
5/23/2021,2.5,0,0
5/24/2021,2.5,2.5,0
5/25/2021,7,2.5,0
5/26/2021,0,0,0
5/27/2021,0,2.5,0
5/28/2021,0,0,0
5/29/2021,0,2.5,0
5/30/2021,0,2.5,0
5/31/2021,0,0,0
6/1/2021,2.5,0,0
6/2/2021,2.5,0,0
6/3/2021,2.5,2.5,2.5
6/4/2021,0,0,0
6/5/2021,0,2.5,0
6/6/2021,2.5,0,0
6/7/2021,2.5,2.5,0
6/8/2021,2.5,2.5,0
6/9/2021,2.5,0,2.5
6/10/2021,0,2.5,0
6/11/2021,2.5,2.5,0
6/12/2021,0,0,0
6/13/2021,2.5,2.5,0
6/14/2021,0,0,0
6/15/2021,0,0,0
6/16/2021,0,2.5,2.5
6/17/2021,0,2.5,2.5
6/18/2021,2.5,2.5,0
6/19/2021,2.5,0,0
6/20/2021,0,2.5,0
6/21/2021,0,2.5,2.5
6/22/2021,0,2.5,0
6/23/2021,0,2.5,0
6/24/2021,0,0,0
6/25/2021,0,2.5,0
6/26/2021,0,2.5,0
6/27/2021,0,0,0
6/28/2021,0,0,0
6/29/2021,0,0,0
6/30/2021,2.5,2.5,0
